"","Model","Gini","AIC","Reducing or adding a predictor?","Predictor being assessed"
"1","Full model","0.356865409111804","21056.9703694355","Nil","Nil"
"2","loan_amnt+term+emp_length+purpose+dti+delinq_2yrs+inq_last_6mths+pub_rec+total_acc+time_since_first_loan+fac.annual_inc","0.356665604763738","21054.5726153968","Reduction","home_ownership"
"3","loan_amnt+term+emp_length+purpose+dti+delinq_2yrs+inq_last_6mths+pub_rec+time_since_first_loan+fac.annual_inc","0.356168574067917","21058.6656783771","Reduction","total_acc"
"4","loan_amnt+term+emp_length+purpose+dti+inq_last_6mths+pub_rec+time_since_first_loan+fac.annual_inc","0.355317536063285","21065.2498996792","Reduction","delinq_2yrs"
"5","loan_amnt+term+emp_length+purpose+inq_last_6mths+pub_rec+time_since_first_loan+fac.annual_inc","0.3525993589313","21085.7109929893","Reduction","dti"
"6","loan_amnt+term+emp_length+purpose+inq_last_6mths+pub_rec+fac.annual_inc","0.349901427161836","21100.3771583052","Reduction","time_since_first_loan"
"7","loan_amnt+term+emp_length+purpose+inq_last_6mths+pub_rec+fac.annual_inc + time_since_first_loan","0.3525993589313","21085.7109929893","Addition","time_since_first_loan"
"8","term+emp_length+purpose+inq_last_6mths+pub_rec+fac.annual_inc","0.346371819657881","21134.3050538346","Reduction","loan_amnt"
"9","term+purpose+inq_last_6mths+pub_rec+fac.annual_inc","0.341876447296812","21148.2726585581","Reduction","emp_length"
"10","term+purpose+inq_last_6mths+fac.annual_inc","0.334458753150596","21208.3453803951","Reduction","pub_rec"
"11","term+inq_last_6mths+fac.annual_inc","0.306915195793324","21418.1435243253","Reduction","purpose"
"12","term+inq_last_6mths","0.26659454538718","21626.9191384286","Reduction","fac.annual_inc"
"13","term+inq_last_6mths + fac.annual_inc","0.306915195793324","21418.1435243253","Addition","fac.annual_inc"
"14","term","0.164803060771037","22004.9998577721","Reduction","inq_last_6mths"
"15",NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA
